text_id,token_id,form,lemma,pos,gloss_eng,lacuna
X001171,1,10,_,n,_,False
X001171,2,UDU-NITA₂,immeru,N,sheep,False
X001171,3,1+en,ištēn,NU,one,False
X001171,4,GU₄,alpu,N,bull,False
X001171,5,NINDA,nindanu,N,rod,False
X001171,6,...,_,u,_,True
X001171,7,ša₂,ša,DET,of,False
X001171,8,{lu₂}KIN-GI₄-A,mār-šipri,N,X-X,False
X001171,9,ša₂,ša,DET,of,False
X001171,10,muh-hi,muhhu,N,skull,False
X001171,11,...,_,u,_,True
X001171,12,id-din-nu,nadānu,V,give,False
X001171,13,ina,ina,PRP,in,False
X001171,14,lib₃-bi,libbu,N,interior,False
X001171,15,...,_,u,_,True
X001171,16,1,_,n,_,False
X001171,17,GU₄,alpu,N,bull,False
X001171,18,šuk-lu-lu,šuklulu,AJ,complete,False
X001171,19,U₄,ūmu,N,day,False
X001171,20,20-KAM,_,n,_,False
X001171,21,ša₂,ša,DET,of,False
X001171,22,{iti}AB,Ṭebetu,MN,Ṭebetu,False
X001171,23,it-tal-ka,alāku,V,go,False
X001171,24,2,_,n,_,False
X001171,25,UDU-NITA₂,immeru,N,sheep,False
X001171,26,ša₂,ša,REL,that,False
X001171,27,ina,ina,PRP,in,False
X001171,28,IGI,pānu,N,front,False
X001171,29,{m}...,_,u,_,True
X001171,30,6,_,n,_,False
X001171,31,UDU-NITA₂,immeru,N,sheep,False
X001171,32,...,_,u,_,True
X001171,33,...,_,u,_,True
X001171,34,ina,ina,PRP,in,False
X001171,35,IGI,mahru,N,front,False
X001171,36,{m}IR₃-{d}SAGGAR₂,Arad-Bunene,PN,Arad-Bunene,False
X001171,37,1/3,_,n,_,False
X001171,38,2,_,n,_,False
X001171,39,GIN₂,šiqlu,N,unit,False
X001171,40,KU₃-BABBAR,kaspu,N,silver,False
X001171,41,TA,ištu,PRP,from,False
X001171,42,re-hi,rēhu,AJ,remaining,False
X001171,43,a-na,ana,PRP,to,False
X001171,44,6,_,n,_,False
X001171,45,UDU-NITA₂,immeru,N,sheep,False
X001171,46,a-na,ana,PRP,to,False
X001171,47,{m}NI-TIN-TU₄,Nidintu,PN,Nidintu,False
X001171,48,SI₃-NU,nadānu,V,give,False
X001171,49,UDU-NITA₂,immeru,N,sheep,False
X001171,50,a-na,ana,PRP,to,False
X001171,51,sat-tuk,sattukku,N,regular offering,False
X001171,52,ina,ina,PRP,in,False
X001171,53,IGI,mahru,N,front,False
X001171,54,{m}šu-zu-bu,Šuzubu,PN,Šuzubu,False
X001171,55,{iti}ZIZ₂,Šabaṭu,MN,Šabaṭu,False
X001171,56,U₄,ūmu,N,day,False
X001171,57,20-KAM,_,n,_,False
X001171,58,MU,šattu,N,year,False
X001171,59,SAG,rēšu,N,head,False
X001171,60,...,_,u,_,True
X001171,61,{m}da-ri-uš-šu₂,Darius,RN,Darius,False
X001171,62,LUGAL,šarru,N,king,False
X001171,63,TIN-TIR{ki},Babili,SN,Babili,False
X001171,64,LUGAL,šarru,N,king,False
X001171,65,KUR-KUR,mātu,N,lands,False
